6519::Dil Yaadein (2023) [Hindi]::Crime|Horror
16740::Dil Zindagi (2001) [Hindi]::Drama|Musical
10396::Dil Roshni (1976) [Hindi]::Family
39806::Oru Veedu (2003) [Malayalam]::Action|Comedy|Horror
14385::Ek Yaadein (1993) [Hindi]::Biographical|Devotional
47200::Gelathi Ranga (2024) [Kannada]::Drama|Romance
33949::Nenu Cheruvu (2024) [Telugu]::Drama|Historical
18107::Main Dastaan (1998) [Hindi]::Romance|Sports
31937::Prema Prema (1969) [Telugu]::Romance
23033::Thamizh Nanban (1960) [Tamil]::Devotional|Musical|Sports
48216::Ninna Kathe (1981) [Kannada]::Musical
36899::Oka Prema (2009) [Telugu]::Romance|War
29624::Oka Gunde (1997) [Telugu]::Romance
15864::Tum Zindagi (2016) [Hindi]::Romance
45247::Nanna Habba (1960) [Kannada]::Action
19418::Dil Ishq (1975) [Hindi]::Action|Comedy
44676::Jeeva Belaku (2016) [Kannada]::Action|Romance
22778::Nenjam Kadhalan (2008) [Tamil]::Crime
40539::Namma Dinam (2022) [Malayalam]::Biographical|Drama|War
19888::Dil Ganesh Chaturthi (2025) [Hindi]::Comedy|Romance
25792::Mudhal Manam (2019) [Tamil]::Comedy
36747::Nuvvu Cheruvu (1965) [Telugu]::Comedy|Romance
29896::Oka Rahasyam (1998) [Telugu]::Musical|Romance
17727::Tum Mohabbat (2006) [Hindi]::Horror|Political
733::Dil Safar (2017) [Hindi]::Devotional|Family
15926::Main Mohabbat (1973) [Hindi]::Horror|Thriller
43983::Oru Premam (1998) [Malayalam]::Comedy|Drama
54781::Prema Navratri (2022) [Marathi]::Musical|Political
51581::Ami Aaloy (2014) [Bengali]::Sports
17111::Dil Raaz (1998) [Hindi]::Action
41148::Kali Kadha (2015) [Malayalam]::Romance
16986::Zindagi Mohabbat (1994) [Hindi]::Comedy|Drama
4032::Mere Roshni (1997) [Hindi]::Folk|Horror
4947::Ek Ishq (2015) [Hindi]::Drama|Musical
15838::Zindagi Ishq (2018) [Hindi]::Action|Mythology
22811::Mudhal Kadhal (2002) [Tamil]::Comedy
52585::Shudhu Jibon (2001) [Bengali]::Action
14267::Zindagi Kahani (2005) [Hindi]::Devotional
52626::Tomar Jibon (2018) [Bengali]::Drama
42927::Oru Veedu (1956) [Malayalam]::Drama|Family|Sports
7029::Kuch Yaadein (2015) [Hindi]::Musical
12162::Ek Yaadein (1973) [Hindi]::Devotional|Historical
40791::Mera Kadha (1993) [Malayalam]::Comedy|Political|Sports
30448::Nenu Cheruvu (1955) [Telugu]::Drama|Historical|Musical
44870::Krishna Preethi (2023) [Kannada]::Comedy|Folk|Political
35362::Mana Prema (1991) [Telugu]::Action|Mythology|Social
55771::Jiv Maitri (2017) [Marathi]::Social
19544::Dil Raaz (2025) [Hindi]::Musical|Mythology
40933::Njanum Veedu (2020) [Malayalam]::Biographical|Social
32955::Raja Cheruvu (1963) [Telugu]::Historical|Romance
56136::Sukh Gaon (2010) [Marathi]::Drama|Romance
37834::Nenu Holi (2021) [Telugu]::Action
13359::Pyaar Roshni (2022) [Hindi]::Devotional|Social
46298::Kannu Kathe (1951) [Kannada]::Drama|Social
6184::Pyaar Safar (2005) [Hindi]::Family
4653::Tum Raaz (2019) [Hindi]::Action|Musical|Political
56026::Jiv Ahe (2022) [Marathi]::Drama
21498::Thalaiva Kadhal (2004) [Tamil]::Musical|Sports
37663::Nenu Bandham (2001) [Telugu]::Comedy|Social
21959::Nenjam Vaali (1996) [Tamil]::Historical
10624::Aaj Holi (2016) [Hindi]::Musical
4123::Ek Ishq (2016) [Hindi]::Romance
26963::Aayirathil Vaali (1998) [Tamil]::Romance|Thriller
20390::Kaadhal Kadhal (1955) [Tamil]::Drama|Romance|War
43817::Priya Sneham (2023) [Malayalam]::Action|Romance
24852::Nenjam Nanban (2017) [Tamil]::Comedy|Devotional|War
53844::Amar Prohor (2006) [Bengali]::Social|War
41843::Priya Sneham (1985) [Malayalam]::Crime|Romance
37816::Iddaru Prema (2024) [Telugu]::Drama|Sports
10548::Zindagi Roshni (2025) [Hindi]::Crime|Drama|War
59240::Yaar Sardaar (1958) [Punjabi]::Comedy|Mythology
13980::Pyaar Mohabbat (1998) [Hindi]::Romance|Sports
13033::Tum Pongal (2002) [Hindi]::Drama|Musical
16041::Ek Ishq (2003) [Hindi]::Action
57208::Jatt Jaan (1962) [Punjabi]::Comedy
14290::Tum Zindagi (1966) [Hindi]::Action|Crime|Folk
73::Zindagi Ishq (1960) [Hindi]::Action|Political
22936::Kannu Nanban (2020) [Tamil]::Family|Mythology
26964::Nenjam Vaali (2007) [Tamil]::Crime
8700::Kuch Raaz (2007) [Hindi]::Drama|Family
8878::Tum Eid (2008) [Hindi]::Action|Romance
44552::Gelathi Ranga (1970) [Kannada]::Action
47171::Ninna Geethe (2016) [Kannada]::Crime|Devotional|Documentary
44424::Kannu Kanasu (1994) [Kannada]::Crime
18860::Mere Dastaan (1959) [Hindi]::Family|Social
55532::Dil Khel (2007) [Marathi]::Family|Romance
31334::Adavi Premalo (2013) [Telugu]::Comedy|Thriller
14080::Ishq Raaz (1979) [Hindi]::Family|Political
44468::Krishna Preethi (2002) [Kannada]::Drama|Folk
38390::Njanum Lokam (2019) [Malayalam]::Drama|Family|Historical
38588::Ente Mazha (2019) [Malayalam]::Romance|Sports
12356::Dil Roshni (2007) [Hindi]::Drama
35494::Nuvvu Onam (1995) [Telugu]::Comedy|Family
42023::Njanum Dinam (1979) [Malayalam]::Historical
34494::Mana Cheruvu (1985) [Telugu]::Drama
28229::Kaadhal Kadhal (2024) [Tamil]::Crime|Social
44527::Kannu Kathe (2002) [Kannada]::Family|Mythology
7230::Mere Dastaan (1984) [Hindi]::Drama
57593::Jatt Sardaar (1999) [Punjabi]::Devotional|Drama
43007::Ente Jeevitham (1986) [Malayalam]::Action|Musical
19432::Mere Dastaan (1983) [Hindi]::Crime
3540::Aaj Zindagi (1958) [Hindi]::Action
45552::Ninna Kanasu (1994) [Kannada]::Comedy|Historical
41603::Ente Kadha (2025) [Malayalam]::Action|Art House
37175::Prema Manasu (2008) [Telugu]::Action
6242::Main Bandhan (1999) [Hindi]::Biographical|Family
16458::Mere Raaz (2017) [Hindi]::Thriller
57410::Yaar Yaari (1974) [Punjabi]::Comedy|Romance
46705::Gelathi Preethi (1951) [Kannada]::Horror
42680::Ente Kadha (1964) [Malayalam]::Social|Thriller
58108::Jatt Mutiyaar (2012) [Punjabi]::Family|Musical
